,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,The ET (Estatuto de los Trabajadores) applies to companies that have not undergone a concursal procedure. The cost of implementing the said plan will not be borne by the workers.,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?,"En la legislación laboral, un empresario se refiere a la persona que dirige y gestiona una empresa. En el contexto proporcionado, se menciona que en algunas empresas, las modificaciones individualmente son consideradas si no alcanzan los umbrales para las modificaciones colectivas. Esto sugiere que el empresario puede tener un papel en la toma de decisiones relacionadas con las modificaciones en la empresa, pero también puede ser responsable de las modificaciones colectivas que afecten a más de trescientos trabajadores.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,"The relational laboral issues that are excluded from the application of RED (Reducción de Jornada de Emergencia) are those that do not fall under the categories of cyclical or sectoral temporary situations. The cost of implementing RED measures will not be borne by the workers in companies that have undergone a conciliation procedure. The changes to the Labor Code and related laws will not affect the retirement concepts recognized by workers as of June 12, 1994. The salaries of high-level staff will benefit from the salary guarantees established in articles 27.2, 29, 32, and 33.","Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?","Sí, los derechos económicos de la legislación española laboral, como el tiempo de trabajo, la capacitación y la resolución de discrepancias, se aplican a los trabajadores españoles contratados en España. Estos derechos se establecen en convenios colectivos o acuerdos entre la empresa y los representantes legales de las personas trabajadoras, o en su defecto, según las reglas establecidas en el apartado anterior. Además, la persona trabajadora tiene derecho a ausentarse del trabajo por causa de fuerza.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?,"Un centro de trabajo se refiere a una unidad de producción o servicio en una empresa que emplea entre cien y trescientos trabajadores. En este contexto, la autoridad laboral establece requisitos para la celebración de elecciones en centros de trabajo con más de trescientos empleados.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,No hay mención de relaciones laborales de carácter especial en el contexto proporcionado. Los trabajadores son clasificados como individuales o colectivamente según los umbrales establecidos.,"
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,"Las relaciones laborales de carácter especial están sujetas al marco legal de proporcionalidad y transparencia. Esto significa que las empresas deben informar a las personas fijas-discontinuas y a la representación legal de las personas trabajadoras sobre las existencia de puestos de trabajo vacantes de carácter fijo ordinario, de manera que puedan formular solicitudes de conversión voluntaria. Las personas trabajoreras fijas-discontinuas también tendrán consideración de colectivo prioritario para el acceso a las iniciativas de formación del sistema de formación profesional para el empleo en el ámbito laboral durante los periodos de inactividad. Además, no se discriminarán en las relaciones laborales y se aplicarán los procedimientos de solución de conflictos a controversias de carácter individual. Las partes legitimadas para negociar pueden adherirse a la totalidad de un convenio colectivo en vigor, siempre que no estuvieran afectadas por otro. El Ministerio de Empleo y Seguridad Social puede extender, con los efectos de las altas efectivas de las personas fijas discontinuas una vez se produzcan.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"Los derechos y obligaciones de la relación laboral se regulan en los artículos 1 y 3 del texto proporcionado. En el artículo 1, se especifica que los derechos y obligaciones se regulan en el tiempo de trabajo utilizado en la empresa, así como en la capacidad de trabajar a distancia o dejar de trabajar si es el sistema establecido. En el artículo 3, se establece que las personas trabajadoras tienen derecho a ausentarse del trabajo por causa de fuerza, lo cual se puede establecer en convenios colectivos u acuerdos entre la empresa y los representantes legales de las personas trabajadoras. En caso de no haber un acuerdo específico, la concreción de estos derechos corresponderá a las personas trabajadoras, siguiendo las reglas establecidas en el apartado anterior.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,"Se aplicarán las disposiciones legales y reglamentarias principalmente por las del Estado, seguido por los convenios colectivos y la voluntad de las partes en el contrato de trabajo. Las disposiciones reglamentarias no pueden establecer condiciones de trabajo distintas a las establecidas por las leyes.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"Si hay preceptos contradictorios de dos o más normas laborales, se resolverán mediante la aplicación de lo más favorable para el trabajador. Esto significa que las normas más beneficiosas para el trabajador serán las que se apliquen.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
