,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,"El Estatuto de los Trabajadores (ET) se aplica a los trabajadores de empresas contratistas y subcontratistas que compartan centro de trabajo. Estos trabajadores pueden utilizar los locales establecidos en el contexto para comunicarse con sus representantes laborales y hacer uso de dichos locales, con las posibles discrepancias resolvidas por la autoridad laboral.","Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?,"Un empresario se considera a un individuo que tiene una posición de liderazgo y responsabilidad en una empresa. En la legislación laboral, los empresarios pueden ser considerados como personas que tienen un contrato para la realización de práctica profesional con una empresa, especialmente si el trabajador es primero contratado en posesión del título superior de que se trate. También se puede establecer un periodo de prueba de un mes o menos para evaluar el empresario's capacidad para realizar la práctica profesional.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,"The labor relations excluded from the application of ET are those that are regulated by:

a) Legal and regulatory provisions of the State.
b) Collective bargaining agreements.
c) The mutual agreement of the parties, as long as it does not establish conditions less favorable or contrary to the provisions of laws and collective bargaining agreements previously expressed.
d) Local and professional customs and practices.

These legal and regulatory provisions will be applied strictly in accordance with the principle of hierarchical normation, while reglamentar provisions will develop the precepts established by higher-level norms but cannot establish different conditions of work than those established by the laws being developed.","Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?","Yes, the Spanish labor law applies to workers employed by Spanish companies in Spain. The context you provided lists several exceptions where different labor laws apply, such as intervening in commercial operations, working with disabilities, minors under legal responsibility, legal professionals, and specialists in health sciences. However, the basic rights recognized by the Constitution are applicable to all relationships of work, including those not explicitly mentioned in the article.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?,"Un centro de trabajo se refiere a una ubicación física donde una empresa opera su negocio. En este contexto, se habla de la opción para que las personas trabajadoras opten por ocupar otro puesto de trabajo en el mismo grupo profesional o categoría equivalente en otro centro de trabajo de la empresa, en lugar de permanecer en su actual ubicación. La empresa está obligada a comunicar las vacantes existentes y a reservar los puestos de trabajo durante un periodo de seis a doce meses. Después de este tiempo, las personas trabajadoras pueden elegir regresar al puesto de trabajo anterior o continuar en el nuevo centro de trabajo, con la opción de recibir una indemnización por los días de salario correspondientes a su servicio anteriores.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,"No, no hay relaciones laborales de carácter especial mencionadas en el contexto proporcionado. Sin embargo, se mencionan algunas relaciones laborales específicas como las de personas con discapacidad, menores sometidos a medidas de internamiento y abogados que prestan servicios en despachos de abogados. También se menciona que la regulación de estas relaciones laborales debe respetar los derechos básicos reconocidos por la Constitución.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,"The legal framework governing special labor relationships is not explicitly mentioned in the provided context. However, it can be inferred that the general labor laws and regulations, collective bargaining agreements, the explicit agreement between the parties, and local and professional usages and customs would apply. The specific provisions of remuneration, such as the maximum 30% of salary that can be paid in kind, would fall under these general rules.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"Los derechos y obligaciones en la relación laboral se regulan por las disposiciones legales y reglamentarias del Estado, los convenios colectivos, la voluntad de las partes (en el contrato de trabajo) y los usos y costumbres locales y profesionales. También hay disposiciones específicas para personas que intervienen en operaciones mercantiles sin asumir riesgo, trabajadores con discapacidad, menores sometidos a medidas de internamiento por responsabilidad penal, especialistas en Ciencias de la Salud en forma de formación, abogados que prestan servicios en despachos y otros trabajos específicos declarados como relaciones laborales especiales por una ley. Todas estas fuentes deben respetar los derechos básicos reconocidos por la Constitución.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,"La base para aplicar las disposiciones legales y reglamentarias en la relación laboral es el principio de jerarquía normativa. Esto significa que las disposiciones reglamentarias se utilizarán para desarrollar los preceptos establecidos por las leyes, pero no pueden establecer condiciones de trabajo distintas a las establecidas por las leyes. Las disposiciones legales y reglamentarias se regulan principalmente por las disposiciones legales y reglamentarias del Estado, los convenios colectivos, la voluntad de las partes en el contrato de trabajo y los usos y costumbres locales y profesionales.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"Si hay preceptos contradictorios entre diferentes normas laborales, se resolverán mediante la aplicación de lo más favorable para el trabajador, en caso de que estas normas no puedan ser reconciliadas. Esto se aplica tanto a las normas estatales como pactadas, y se tomará en cuenta solo en casos donde los trabajadores no hayan aceptado los usos y costumbres locales o profesionales.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
