,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?," Los trabajadores a quienes se les aplica el Estatuto de los Trabajadores (ET) son aquellos que negocian colectivamente con los empresarios. Esta negociación se lleva a cabo mediante los convenios colectivos, resultado de la libre acuerdo de los representantes de los trabajadores y de los empresarios. Esto sucede dentro del ámbito correspondiente establecido en el ET.","Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?," En la legislación laboral española, un empresario es una persona física o jurídica que contrata a trabajadores para ejecutar una actividad específica. El empleo de personas en prácticas profesionales también se considera empresa, siempre y cuando se cumplan determinados requisitos como tener el título superior adecuado y un plan formativo individual. Además, existen relaciones laborales especiales, como la del personal de alta dirección, el servicio del hogar familiar, los deportistas profesionales, los artistas, etc., que también se consideran empresarios.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?," La relación laboral que no se incluye en la aplicación del ET (Estatuto de Trabajadores) es cualquier condición de trabajo establecida en perjuicio del trabajador, contraria a las disposiciones legales y convenios colectivos antes expresados.","Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?"," Si tienes una empresa española, los derechos económicos de la legislación española laboral se aplicarán a todos los trabajadores que prestén sus servicios en España. La regulación de estas relaciones laborales respetará los derechos básicos reconocidos por la Constitución.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?," Un centro de trabajo es una localización donde se realiza la actividad laboral de una empresa. En ciertas circunstancias, las personas trabajadoras pueden optar por ocupar otro puesto de trabajo en otro centro de trabajo del mismo grupo profesional o categoría equivalente si la empresa lo requiere. La duración inicial de este traslado sería entre 6 y 12 meses, durante los cuales la empresa tiene que reservar el puesto anterior que ocupaban las personas trabajadoras. Al término de este período, éstas pueden optar por regresar al puesto anterior o continuar en el nuevo; si se extiende la opción al último caso, la obligación de reserva decae. Si no hay más trabajo en su centro original, recibirán indemnización correspondiente a 20 días de salario por año de servicio.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,"1. Las relaciones laborales especiales se refieren a operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo (f), trabajadores con discapacidad en centros especiales de empleo (g), abogados que prestan servicios en despachos de abogados (k) y cualquier otro trabajo declarado como relación laboral de carácter especial por una ley (l). La regulación de dichas relaciones laborales respetará los derechos básicos reconocidos por la Constitución.
2. Los derechos y obligaciones de la relación laboral se regula proporcionalidad, transparencia y no discriminación (Artículo 3). Las personas fijas-discontinuas tienen preferencia para el acceso a las iniciativas de formación profesional durante los periodos de inactividad (Artículo 7 y 8).","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?," La relación laboral de carácter especial se regula por las disposiciones legales y reglamentarias del Estado, los convenios colectivos y la voluntad de las partes. En ningún caso pueden establecerse condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos. El salario en dinero o en especie por la prestación profesional de servicios laborales por cuenta ajena se considerará como salario, exceptuando las indemnizaciones, suplidos por los gastos realizados como consecuencia de la actividad laboral, las prestaciones e indemnizaciones de la Seguridad Social. En este marco legal, el salario en especie no podrá superar el treinta por ciento de las percepciones salariales del trabajador.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?," Los derechos y obligaciones en la relación laboral se regulan por las disposiciones legales y reglamentarias del Estado, convenios colectivos, voluntad de las partes manifestada en el contrato de trabajo (no pueden establecerse condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos), usos y costumbres locales y profesionales. Además, la regulación de dichas relaciones laborales respetará los derechos básicos reconocidos por la Constitución.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?," Las disposiciones legales y reglamentarias que regulan los derechos y obligaciones en la relación laboral se aplicarán bajo el principio de jerarquía normativa, es decir, con sujeción estricta a este principio. Las disposiciones reglamentarias desarrollarán los preceptos de las normas de rango superior, pero no podrán establecer condiciones distintas a las establecidas por las leyes a desarrollar.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?," En caso de conflicto entre dos o más normas laborales, se resolverá aplicando lo más favorable para el trabajador en su conjunto y en cuenta anual respecto de los conceptos cuantificables. Los usos y costumbres solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales. Los derechos laborales básicos incluyen aquellos reconocidos por las disposiciones legales de derecho necesario y los convenios colectivos, así como los establecidos por voluntad de las partes en el contrato de trabajo y los usos y costumbres locales y profesionales. La jerarquía normativa se respetará con sujeción estricta, con las disposiciones reglamentarias desarrollando solo los preceptos que establecen las normas de rango superior, pero no pueden establecer condiciones de trabajo distintas a las establecidas por las leyes a desarrollar.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
