,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,"The Labor Standards Act (ET) applies to all workers in Spain, regardless of their employment contract type or the industry they work in. It aims to protect workers' rights and ensure fair working conditions.","Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?,"En la legislación laboral, un empresario se refiere a una persona que tiene la responsabilidad y la autoridad para dirigir y controlar un negocio o empresa. Esto puede incluir la toma de decisiones comerciales, la gestión de recursos humanos, la planificación estratégica y la supervisión de los operaciones diarias del negocio.

En algunos países, el término ""empresario"" también se utiliza para referirse a personas que poseen una participación significativa en una empresa o línea de negocio. En otros contextos, un empresario puede ser alguien que tiene la responsabilidad de dirigir y administrar un grupo de empleados o recursos humanos en un negocio.

Es importante tener en cuenta que la definición de ""empresario"" puede variar según el país y la legislación laboral local, por lo que es recomendable consultar las leyes y regulaciones específicas del lugar en cuestión.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,"The EU Working Time Directive (WTD) applies to most workers in the European Union and sets limits on working time to prevent overwork and ensure a healthy work-life balance. However, there are some exceptions:

1. **Directors and senior managers**: They are not covered by the WTD and can work up to 48 hours per week on a normal basis, with the possibility of working more hours on certain days.
2. **Self-employed individuals**: They are not subject to the WTD, as they are responsible for managing their own workload and hours.
3. **Trainees and apprentices**: They can work up to 48 hours per week, with the possibility of working more hours on certain days. However, they must have at least 20 days of rest per month.
4. **Workers in certain occupations**: Some occupations, such as doctors, nurses, and firefighters, may be exempt from the WTD due to the nature of their work.
5. **Temporary or fixed-term workers**: They are only entitled to a maximum of 48 hours of work per week during their first two months of employment. After that, they are subject to the same rules as other workers.
6. **Workers in certain sectors**: Some sectors, such as agriculture and fisheries, may have different working time rules due to the nature of their work.","Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?","Sí, los derechos económicos de la legislación española laboral se aplican a los trabajadores españoles contratados en España. Esto incluye leyes sobre horario de trabajo, salarios mínimos, días vacacionales, jornadas laborales y otros aspectos relacionados con el trato laboral. Es importante que las empresas cumplan con estas leyes para garantizar un entorno laboral justo y seguro para sus empleados.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?,"A workplace, or workspace, is a physical location where people gather to perform various tasks and activities related to their jobs or businesses. It can also refer to the virtual space where individuals access and interact with digital tools and resources for work-related purposes. Workplaces can range from small home offices to large corporate buildings, and they often include infrastructure such as desks, chairs, computers, and other equipment necessary for productivity.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,"Yes, there can be special labor relations. These are situations where the relationship between employers and employees is not governed by regular labor laws or agreements. This could include independent contractors, freelancers, or gig workers. The terms of employment, compensation, and working conditions may be negotiated on a case-by-case basis.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,"The legal framework that applies to special labor relations is the Labor Code of the country in question. This code outlines the specific rules and regulations that apply to these types of relationships, such as collective bargaining agreements, social security contributions, and working conditions. It's important to note that the specifics can vary depending on the country and its labor laws.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"En muchos países, los derechos y obligaciones de la relación laboral se regulan por leyes y reglamentos específicos. En los Estados Unidos, por ejemplo, la Administración de Ingresos Federales (IRS) y el Departamento de Trabajo (DOL) son las agencias gubernamentales principales que administran las leyes laborales. En España, el Ministerio de Trabajo y Economía de las Comunidades Autónomas es la entidad encargada de regular las relaciones laborales.

Para conocer los derechos de las relaciones laborales, puedes consultar los recursos legales disponibles en línea o consultar con un abogado especializado en derecho laboral. También puede ser útil buscar información en línea o consultar con organizaciones laborales que se dedican a defender los derechos de los trabajadores.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,"The application of legal and regulatory provisions will be based on the principle of good faith and fairness. This means that all parties involved should act in a manner that is honest, transparent, and respectful of the rights and interests of others. It also implies that any interpretation or application of the law should be done in a way that is reasonable and proportionate, taking into account the specific circumstances of the case.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"Si hay preceptos contradictorios en dos o más normas laborales, se debe seguir las normas que son más estrictas o que tienen un mayor peso jurídico. Si ambas normas son iguales, se debe seguir la norma que es más específica o que proporciona más detalles. En cualquier caso, si hay alguna duda, se recomienda buscar asesoramiento legal para garantizar el cumplimiento de las normas laborales.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
