,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,"The Estatuto de los Trabajadores (ET) applies to workers whose contracts were in effect as of June 12, 1994. Their remuneration terms will remain unchanged until a collective bargaining agreement establishes a new salary system that replaces or modifies these terms. The ET also covers the representation of business owners and the legal framework for working hours and job changes in contracts with specialized employment centers.","Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?,"En la legislación laboral, un empresario se refiere a la persona o entidad que tiene la responsabilidad de gestionar y dirigir una empresa o un departamento de una empresa. El empresario es considerado como el encargado de tomar decisiones importantes relacionadas con la estructura, operaciones y recursos de la empresa.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,The religious and cultural practices of the employees are not considered in the application of the ET. The ET only considers the economic aspects of the business and the working conditions of the workers.,"Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?","Sí, si tienes una empresa española, se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España. Esto incluye derechos económicos como el salario mínimo, las horas adicionales, los días de descanso y vacaciones, la seguridad social y otros beneficios legales. Sin embargo, si los trabajadores son contratados por una empresa española en el extranjero, se aplicarán también las normas de orden público aplicables en el lugar de trabajo.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?,"Un centro de trabajo se refiere a una unidad de producción en una empresa, donde los empleados trabajan juntos para crear o proporcionar un producto o servicio. En el contexto proporcionado, no hay información adicional sobre la naturaleza específica del centro de trabajo, como si fuera un colegio de trabajo o una planta industrial.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,"Yes, there are special labor relations. These are related to employment and social security. The Legal Framework for Labor Relations outlines specific regulations for contracts and subcontracts with specialized employment centers. Additionally, there are provisions for selecting representatives in the arts industry, audiovisual and musical fields, as well as technical or auxiliary activities necessary for their development.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,"Las relaciones laborales de carácter especial están sujetas al marco legal establecido en el Boletín Oficial del Estado y la Ley Consolidada Legislativa. En particular, el Artículo 25 de la Ley Consolidada Legislativa refiere a la promoción económica en las relaciones laborales, mientras que el Artículo 92 permite la adhesión y extensión de convenios colectivos por parte de las partes legitimadas para negociar. Además, el Artículo 17 del mismo código prohíbe la discriminación en las relaciones laborales.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"Los derechos y obligaciones en las relaciones laborales se regulan por la legislación laboral y las normativas generales de derecho laboral. En el contexto proporcionado, se menciona que se regulan los derechos y obligaciones en relaciones laborales en las secciones 17, 18 y otras. Para conocer los derechos de las relaciones laborales, se recomienda consultar la legislación laboral aplicable en su jurisdicción.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,"Las disposiciones legales y reglamentarias se aplicarán con sujeción estricta al principio de jerarquía normativa. Las disposiciones reglamentarias desarrollarán los preceptos que establecen las normas de rango superior, pero no podrán establecer condiciones de trabajo distintas a las establecidas por las leyes.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"Los trabajadores tienen derechos básicos que incluyen la libertad de elección de empleo, la seguridad social, los plazos y horarios de trabajo, así como las condiciones de trabajo. Si hay preceptos contradictorios de dos o más normas laborales, se resolverán mediante la aplicación de lo más favorable para el trabajador, en cómputo anual, respecto de los conceptos cuantificables.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
