,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?," La disposición adicional quinta del Estatuto de los Trabajadores se refiere al personal de alta dirección, cuyas retribuciones gozan de las garantías establecidas en los artículos 27.2, 29, 32 y 33. Las personas con discapacidad que trabajen en centros especiales de empleo no se verán afectadas por el artículo 42.6 del Estatuto de los Trabajadores. Además, en caso de relevo de un trabajador, la jornada y puesto de trabajo podrán ser los mismos. Se pueden establecer medidas para impulsar la celebración de contratos de relevo en negociación colectiva. Por último, las personas trabajadoras pueden prestar trabajo a distancia en los términos previstos en la Ley 10/2021 de trabajo a distancia.","Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?," En la legislación laboral no está claro cuál es una empresario en términos exclusivos, pero se puede inferir que puede ser considerado como el contratista a quien corresponde la dirección y administración de una empresa. Esto se refleja en la sección 45 del Boletín Oficial del Estado donde se especifica que el contrato de trabajo podrá suspenderse por un acuerdo mutuo entre las partes o causas consignadas válidamente en el contrato, lo cual implica que una de las partes es la empresa. También se menciona que el coste de elaboración e implantación de un plan no recaerá sobre los trabajadores y se refiere al empresario. Además, se establece que si un trabajador ha recibido una especialización profesional con cargo al empresario para poner en marcha proyectos determinados o realizar un trabajo específico, podría pactarse su permanencia en dicha empresa durante cierto tiempo.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?," Las relaciones laborales que excluyen de la aplicación del Mecanismo RED incluyen:

1. Aquellas que se encuentran regidas por los artículos 47.4 y 7.
2. Las personas trabajadoras cubiertas por un Mecanismo RED no tienen derecho a las medidas en materia de protección social previstas en la disposición adicional cuadragésima primera del texto refundido de la Ley General de la Seguridad Social hasta que se constituyan y estén en funcionamiento dichos órganos tripartitos equivalentes.
3. El personal de alta dirección no gozará de las garantías del salario establecidas en los artículos 27.2, 29, 32 y 33.
4. En materia de representación institucional, los empresarios no tienen derecho a ostentarla ante las Administraciones Públicas y otras entidades u organismos de la defensa de intereses generales de los empresarios.","Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?"," La legislación laboral española se aplica al trabajo que prestan los trabajadores españoles contratados en España, incluso si esta actividad es realizada en empresas españolas en el extranjero. Los derechos económicos de los trabajadores serán al menos de los que correspondieran para un trabajo en territorio español. La cesión de trabajadores solo puede efectuarse a través de empresas de trabajo temporal autorizadas legalmente. Las retribuciones del personal de alta dirección tienen las garantías establecidas en los artículos 27.2, 29, 32 y 33.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?," Un centro de trabajo se refiere a una empresa o entidad productiva establecida por el título normativo indicado. En esta empresa, se regirán las normas electorales adaptadas al número de colegios y los derechos y deberes derivados del contrato de trabajo, incluyendo no discriminación en relaciones laborales, seguridad y salud en el trabajo, dirección y control de la actividad laboral, derechos a la intimidad en relación con el entorno digital, entre otros.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?," Hay relaciones laborales de carácter especial en los casos de contratas y subcontratas con centros especiales de empleo, en el ámbito de las personas artistas que desarrollan su actividad en las artes escénicas, audiovisuales y musicales, así como de las personas que realizan actividades técnicas o auxiliares necesarias para el desarrollo de dicha actividad. También hay relaciones laborales individuales en los casos en que la modificación no alcance los umbrales señalados para las modificaciones colectivas. Además, se establecen grupos profesionales en las empresas que agrupen unitariamente las aptitudes profesionales, titulaciones y contenido general de la prestación.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?," La relación laboral de carácter especial se encuentra regulada por el Artículo 25 Promoción económica de la Ley 33/2003, en materia de no discriminación en las relaciones laborales. En este caso, también puede establecerse medidas de acción positiva dirigidas a eliminar o compensar situaciones de discriminación. La adhesión y extensión de convenios colectivos se regula por el Artículo 92 Adhesión y Extensión. Las personas trabajadoras fijas-discontinuas tienen derecho a ser informadas sobre la existencia de puestos de trabajo vacantes de carácter fijo ordinario para poder formular solicitudes de conversión voluntaria, y tienen consideración de colectivo prioritario para el acceso a las iniciativas de formación del sistema de formación profesional para el empleo en el ámbito laboral durante los periodos de inactividad.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?," La regulación de las relaciones laborales se establece a través del contrato de trabajo y las leyes laborales. Los derechos básicos reconocidos por la Constitución también son respetados en todas las relaciones laborales. También hay convenios colectivos sectoriales que establecen algunos de los derechos y obligaciones de las personas que trabajan en determinados sectores.
Si tienes dudas sobre tus derechos laborales, puedes acudir a la autoridad laboral o conseguir asesoramiento legal. El lugar donde se puede informarse sobre derechos laborales es el Ministerio del Trabajo y Previsión Social en su sede central o una oficina local de este ministerio.
En términos generales, los derechos básicos en las relaciones laborales incluyen la no discriminación, el salario mínimo, horas máximas de trabajo, seguridad y salud en el trabajo, entre otros.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?," Bajo el principio de la jerarquía normativa, las disposiciones legales y reglamentarias se aplican en los asuntos laborales. Las disposiciones reglamentarias desarrollan los preceptos establecidos por las leyes superiores, pero no pueden establecer condiciones de trabajo distintas a las establecidas por la ley. Además, las partes tienen la libertad para establecer su voluntad en el contrato de trabajo, siempre que sea licito y sin perjuicio del trabajador. Las disposiciones legales y reglamentarias se encuentran consolidadas en el Boletín Oficial del Estado.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?," En caso de contradicciones entre preceptos de dos o más normas laborales, se aplicará lo más favorable para el trabajador en su conjunto, respecto de los conceptos cuantificables. También es importante resaltar que en defecto de disposiciones legales, convencionales o contractuales, solo se pueden aplicar usos y costumbres si cuentan con una recepción o remisión expresa. Por otra parte, los trabajadores no pueden disponer de derechos reconocidos por las leyes del derecho necesario antes o después de su adquisición.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
10,¿Qué valor tienen los usos y costumbres?," Los usos y costumbres solo se aplican en ausencia de disposiciones legales, convencionales o contractuales. Estas son consideradas únicamente cuando cuenten con una recepción o remisión expresa. Los trabajadores no pueden disponer de derechos reconocidos por disposiciones legales de derecho necesario ni de los derechos reconocidos como indisponibles por convenio colectivo. Los derechos laborales básicos de los trabajadores incluyen derechos como la comunicación de informaciones específicas relacionadas con secretos industriales, financieros o comerciales, siempre y cuando su divulgación no obstacule el funcionamiento de la empresa o cause graves perjuicios en su estabilidad económica.","usos y costumbres solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales, a no ser que cuenten con una recepción o remisión expresa."
11,¿Son renunciables los derechos laborales reconocidos? ¿Se puede disponer de los derechos del trabajador? ¿Se puede compensar económicamente los derechos de los trabajadores? ¿Podrán renunciar de alguno de sus derechos los trabajadores?,"1. Los derechos laborales son inrenunciables y no pueden ser disponidos por el trabajador ni por su empresario, de acuerdo con el contexto proporcionado en los artículos 4(5) y 5 del texto.
2. No se puede compensar económicamente los derechos de los trabajadores de manera que renuncien a ellos, ya que estos derechos son inrenunciables (artículo 4(5)).
3. Los trabajadores no pueden renunciar de ningún derecho laboral reconocido, de acuerdo con el artículo 4(5)."," trabajadores no podrán disponer válidamente 
derechos que tengan reconocidos por disposiciones legales de derecho necesario. Tampoco podrán disponer válidamente de los derechos reconocidos como indisponibles por convenio colectivo."
12,¿Cuáles son los derechos laborales básicos? ¿Cuáles son los derechos básicos del trabajador?," Los derechos laborales básicos son los siguientes:

1. Derecho a la organización sindical (a tener sindicatos que representen sus intereses en el trabajo).
2. Derecho a tener un lugar adecuado para desarrollar actividades y comunicarse con los trabajadores, así como tablones de anuncios.
3. Derecho a la representación legal de los trabajadores en las empresas contratistas y subcontratistas que comparten centro de trabajo.
4. Los derechos reconocidos por disposiciones legales de derecho necesario no pueden ser dispuestos por los trabajadores antes o después de su adquisición. Tampoco podrán disponer de los derechos reconocidos como indisponibles por convenio colectivo.","a) Trabajo y libre elección de profesión u oficio.
b) Libre sindicación.
c) Negociación colectiva.
d) Adopción de medidas de conflicto colectivo.
e) Huelga.
f) Reunión.
g) Información, consulta y participación en la empresa.
"
13,¿Cuáles son los derechos laborales del trabajador en relación con el trabajo? ¿Qué derechos laborales son reclamables por el trabajador?," Los derechos laborales básicos de un trabajador incluyen:

* El derecho a una remuneración que respeite los mínimos legales.
* El derecho a las vacaciones, descanso dominical y horas extras que corresponden.
* La protección contra el despido arbitrario o injustificado.
* El derecho a la seguridad y salud en el trabajo.
* El derecho a la igualdad de tratamiento entre hombres y mujeres en lo que respecta a las retribuciones y las condiciones laborales.
* La protección contra los acosos, discriminación o cualquier otro tipo de maltrato en el lugar de trabajo.
* El derecho a la participación en la toma de decisiones que afecten su trabajo y sus condiciones de trabajo.
* El derecho a una protección social y de seguridad social.
* El derecho a un salario completo, con los complementos salariales y las percepciones extrasalariales que le corresponden por su sexo, grupo profesional, categoría o tipo de trabajo.
* La posibilidad de acceder al registro salarial de la empresa a través de su representación legal.
* El derecho a ser informado y justificado si en una empresa con cincuenta trabajadores o más, el promedio de las retribuciones a los trabajadores de un sexo sea superior al otro en un 25% o más.","
a) A la ocupación efectiva.
b) A la promoción y formación profesional en el trabajo, i
c) A no ser discriminados directa o indirectamente para el empleo, 
d) A su integridad física y a una adecuada política de prevención de riesgos laborales.
e) Al respeto de su intimidad y a la consideración debida a su dignidad, 
f) A la percepción puntual de la remuneración pactada o legalmente establecida.
g) Al ejercicio individual de las acciones derivadas de su contrato de trabajo.
h) A cuantos otros se deriven específicamente del contrato de trabajo.
"
14, ¿Cuáles son los deberes laborales de los trabajadores? ¿Cuáles son las obligaciones de los trabajadores? ¿Qué es exigible por parte del trabajador? ," Los trabajadores tienen los siguientes deberes laborales:

a) Cumplir con las obligaciones específicas de su puesto de trabajo.
b) Observar las medidas de prevención de riesgos laborales.
c) Cumplir las órdenes e instrucciones del empresario en el ejercicio regular de sus facultades directivas.
d) No concurrir con la actividad de la empresa, según lo establecido por ley.
e) Contribuir a la mejora de la productividad.
f) Cuantos se derivan específicamente del contrato de trabajo.","a) Cumplir con las obligaciones concretas de su puesto de trabajo, de conformidad con las reglas de la buena fe y diligencia.
b) Observar las medidas de prevención de riesgos laborales que se adopten.
c) Cumplir las órdenes e instrucciones del empresario en el ejercicio regular de sus facultades directivas.
d) No concurrir con la actividad de la empresa, en los términos fijados en esta ley.
e) Contribuir a la mejora de la productividad.
f) Cuantos se deriven, en su caso, de los respectivos contratos de trabajo.
"
15,¿Cuál es la edad mínima para trabajar?, No se especifica en el contexto proporcionado la edad mínima para trabajar.,Se prohíbe la admisión al trabajo a los menores de dieciséis años.
16,¿Qué restricciones tienen los mayores de 16 años y menores de 18 años?,"1. Mayores de 16 años pueden trabajar, pero menores de 18 no pueden realizar trabajos nocturnos ni en puestos cuyas actividades estén limitadas según la Ley de Prevención de Riesgos Laborales y normas reglamentarias aplicables.
2. Se prohíbe realizar horas extraordinarias a los menores de 18 años.
3. No se autoriza intervención de menores de 16 en espectáculos públicos en general, pero podrá ser autorizada en casos excepcionales por la autoridad laboral siempre que no suponga peligro para su salud ni formación.
4. Los menores de 16 pueden contratar trabajo si son mayores de 16 y elegibles cuando tengan 18 años cumplidos, contando con una antigüedad en la empresa de al menos 20 días.
5. En asociaciones empresariales, se garantiza representación paritaria y presencia equilibrada entre mujeres y hombres, sin superando el 60% ni siendo menor del 40%.
6. Discapacitados que prestan servicios en centros especiales de empleo y abogados que prestan servicios en despachos de abogados son excepciones a la regla general de no contratar a menores de edad.
7. Otras situaciones laborales específicas declaradas por ley también pueden permitir el trabajo de menores, siempre respetando los derechos básicos reconocidos por la Constitución.","2. Los trabajadores menores de dieciocho años no podrán realizar trabajos nocturnos ni aquellas actividades o puestos de trabajo respecto a los que se establezcan limitaciones a su contratación 
3. Se prohíbe realizar horas extraordinarias a los menores de dieciocho años.
"
17,¿Pueden los menores de 16 años intervenir en espectáculos públicos?," Los menores de 16 años no pueden intervenir en espectáculos públicos de manera regular. Solo se permite en casos excepcionales por autoridad laboral, siempre que no suponga peligro para su salud ni su formación profesional y humana, y con permiso por escrito para actos determinados.","solo se autorizará en casos excepcionales por la autoridad laboral, siempre que no suponga peligro para su salud ni para su formación profesional y humana.
deberá constar por escrito "
