,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,El Estatuto de los Trabajadores (ET) se aplica a todos los trabajadores en España.,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?,Un empresario se considera a un trabajador independiente que no está sujeto a la regulación del contrato de trabajo y cuyo trabajo no es obligatoriamente formalizado en un contrato.,"Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,No tengo información específica sobre las relaciones laborales que se excluyen de la aplicación del ET (Estatuto del Trabajo). La respuesta puede variar dependiendo de las disposiciones legales y reglamentos específicos de cada país o región.,"Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?","No sabes la respuesta a esta pregunta, pero puedo decirte que el derecho económico aplicable a los trabajadores españoles contratados en España puede ser influenciado por varios factores, como la naturaleza del contrato laboral y las leyes de los Estados miembros de la Unión Europea en los que se ejercen. Sin embargo, no puedo proporcionar una respuesta específica sin más información.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?,"Un centro de trabajo (COT) es una unidad básica de producción o servicio que realiza tareas específicas para alcanzar los objetivos organizativos. El COT puede ser un equipo, una sección, una planta o un edificio dedicado a realizar una actividad concreta.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,"Sí, existen relaciones laborales de carácter especial, como las contratos de trabajo temporales, los acuerdos de colaboración y los contratos de trabajo a distancia. También existen relaciones laborales especiales como la relación de dependencia entre un trabajador y su empleador, o las relaciones laborales en el ámbito público o en entidades internacionales.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,"No lo sabes. Sin embargo, puedo decirte que el marco legal al que están sujetas las relaciones laborales de carácter especial es el establecido por la Ley del Trabajo y otros ordenamientos legales y reglamentarios.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"Según los artículos 3, 7, 8 y 17 de la Ley Reguladora de las Relaciones Laborales, los derechos y obligaciones de las relaciones laborales se regulan principalmente en:

* En el artículo 3, se establece que los derechos y obligaciones concernientes a la relación laboral se regulan en función de la proporcionalidad y transparencia.
* En el artículo 7, se requiere que la empresa informe a las personas fijas-discontinuas y a su representación legal sobre la existencia de puestos de trabajo vacantes de carácter fijo ordinario.
* En el artículo 8, se garantiza al colectivo prioritario de las personas trabajadoras fijas-discontinuas acceso a las iniciativas de formación del sistema de formación profesional para el empleo en el ámbito laboral durante los periodos de inactividad.
* En el artículo 17, se establecen normas para evitar la discriminación en las relaciones laborales, incluyendo medidas para favorecer la corresponsabilidad y la conciliación entre la vida laboral, familiar y personal.

En cuanto a dónde tener que acudir para conocer los derechos de las relaciones laborales, no se especifica explícitamente. Sin embargo, se pueden consultar:

* Los convenios colectivos sectoriales y de empresa
* El acuerdo de empresa
* La representación legal de las personas trabajadoras
* La empresa en sí misma (en relación con la información que proporciona sobre los puestos de trabajo vacantes)

Es importante destacar que los derechos y obligaciones de las relaciones laborales pueden variar dependiendo del tipo de contrato, la industria o el sector en el que se trabaje.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,"La aplicación de las disposiciones legales y reglamentarias se basa en el principio de jerarquía normativa, lo que significa que las normas superiores (legales) tienen prioridad sobre las normas inferiores (reglamentarias). Además, las disposiciones reglamentarias no pueden establecer condiciones de trabajo distintas a las establecidas por las leyes.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"Si hay preceptos contradictorios de dos o más normas laborales, se aplicará el principio de jerarquía normativa. Las disposiciones legales y reglamentarias tendrán prioridad sobre los convenios colectivos y la voluntad de las partes expresada en el contrato de trabajo. En este caso, se deberá respetar los mínimos de derecho necesario y, en cómputo anual, se aplicará lo más favorable para el trabajador.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
