,question,ground_truth,answer,rouge1,rouge2,rougeL,f1,sas,bertscore
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica","El Estatuto de los Trabajadores (ET) se aplica a todos los trabajadores que están inscritos en el Registro de Trabajadores del Estado, sin distinción de sector o profesión. Sin embargo, como menciona el texto proporcionado, las empresas que hayan sometido a un procedimiento concursal no estarán sujetas al ET.",0.27,0.07,0.2,0.18,0.36888263,0.95
1,¿Qué se considera un empresario en la legislación laboral?,"Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas.","Un empresario en la legislación laboral se considera a:

*   La persona física o jurídica que ejerce la actividad económica, sin importar si es individual o colectiva.
*   En el caso de las empresas con menos de 30 trabajadores y no más de 300 trabajadores.",0.39,0.15,0.31,0.18,0.35942966,0.94
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,"Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
",No sabes la respuesta.,0.01,0.0,0.01,0.01,0.50092894,0.72
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero,"[S] Pregunta: Si tienes una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España? 

Respuesta: Sí, se aplicarían los derechos económicos establecidos en la legislación española laboral.",0.51,0.32,0.38,0.29,0.63313794,0.93
4, ¿Qué es un centro de trabajo?,"se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral.","Un centro de trabajo es un lugar físico donde se realizan las actividades laborales de una empresa. En este contexto, los centros de trabajo que ocupen entre cien y trescientos trabajadores están sujetos a ciertas regulaciones y procedimientos legales, como la celebración de consultas sobre posibles cambios en el personal o la organización del centro de trabajo.",0.26,0.07,0.19,0.2,0.46826497,0.93
5,¿Hay relaciones laborales de carácter especial?,"
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
",No sé si hay relaciones laborales de carácter especial.,0.04,0.0,0.04,0.01,0.16456047,0.82
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,respetará los derechos básicos reconocidos por la Constitución.,"No puedo proporcionar asesoramiento legal específico sobre leyes o normativas laborales. Sin embargo, puedo ofrecerte una respuesta general basada en el contexto dado.

Basándome en la información proporcionada, parece que las relaciones laborales de carácter especial están sujetas a un marco legal que aborda aspectos como la no discriminación (Artículo 17), la adhesión y extensión de convenios colectivos (Artículo 92) y el acceso a formación profesional durante periodos de inactividad para las personas trabajadoras fijas-discontinuas.

Si necesitas información específica o asesoramiento legal, te recomiendo consultar a un profesional en derecho laboral.",0.05,0.0,0.03,0.02,0.44238463,0.89
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
","Según el artículo 3 de la Constitución española, los derechos y obligaciones concernientes a la relación laboral se regulan en:

1. Los convenios colectivos.
2. Los acuerdos entre la empresa y los representantes legales de las personas trabajadoras.
3. El acuerdo entre la empresa y las personas trabajadoras afectadas.

Además, si no existen estos acuerdos, las reglas establecidas en el apartado anterior se aplicarán, incluidas las relativas a la resolución de discrepancias.",0.23,0.05,0.15,0.15,0.4564197,0.97
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,sujeción estricta al principio de jerarquía normativa.,"La aplicación de las disposiciones legales y reglamentarias se basa en el principio de jerarquía normativa. Esto significa que las leyes a nivel superior tendrán prioridad sobre las reglamentos que las desarrollan. En otras palabras, los preceptos legales superiores no pueden ser contradictorios con los preceptos inferiores (reglamentarios).",0.2,0.14,0.2,0.15,0.5777619,0.89
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables.","En caso de preceptos contradictorios de dos o más normas laborales, la aplicación del ""principio de lo más favorable para el trabajador"" indica que se debe elegir el precepto que proteja mejor los derechos y intereses del trabajador. En este sentido, si hay un conflicto entre disposiciones legales y convenionales, solo las disposiciones legales tendrán prioridad, siempre y cuando no haya una recepción o remisión expresa de la convención colectiva.",0.34,0.17,0.26,0.23,0.55741173,0.94
