,question,ground_truth,answer,rouge1,rouge2,rougeL,f1,sas,bertscore
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica","La respuesta a la pregunta es: Los trabajadores de todas las empresas, incluyendo contratistas y subcontratistas que compartan un centro de trabajo, se ven afectados por el Estatuto de los Trabajadores.",0.27,0.03,0.18,0.23,0.33172378,0.94
1,¿Qué se considera un empresario en la legislación laboral?,"Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas.",La respuesta es: La persona que ejerce una actividad laboral profesional con independencia y sin relación contractual con un patrono.,0.11,0.0,0.09,0.03,0.29045996,0.91
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,"Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
",No sé qué relaciones laborales se excluyen de la aplicación del ET (Estatuto del Trabajador).,0.05,0.01,0.04,0.04,0.55323935,0.86
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero,"La respuesta a esta pregunta es no, los trabajadores españoles contratados en España no están sujetos a los derechos económicos de la legislación española laboral, ya que sus contratos son considerados como relaciones laborales de carácter especial y no se regulan por el Código del Trabajo. Sin embargo, sí tienen derecho a los derechos básicos reconocidos por la Constitución, como el artículo 3, que establece que los derechos y obligaciones concernientes a la relación laboral se regulan por leyes especiales.",0.33,0.18,0.21,0.25,0.54550904,0.9
4, ¿Qué es un centro de trabajo?,"se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral.",Un centro de trabajo es una unidad organizativa dentro de una empresa donde se llevan a cabo actividades laborales. Se refiere al lugar físico donde se ejercen las funciones profesionales de los trabajadores.,0.21,0.07,0.17,0.18,0.65383047,0.95
5,¿Hay relaciones laborales de carácter especial?,"
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
","No sabiendo responder a la pregunta directamente, puedo mencionar que algunas de las relaciones laborales señaladas (g) La de los trabajadores con discapacidad que presten sus servicios en centros especiales de empleo, j) La de residencia para la formación de especialistas en Ciencias de la Salud y k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos) están reguladas por leyes específicas que tienen como objetivo proteger los derechos de las personas con discapacidad, los derechos de los estudiantes de derecho en formación y los derechos de los profesionales del derecho.

Sin embargo, es posible que algunas de estas relaciones laborales también estén sujetas a la regulación general de las relaciones laborales establecida por el artículo 3.1 y sección 2.ª de la ley mencionada.",0.58,0.36,0.35,0.27,0.5874392,0.97
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,respetará los derechos básicos reconocidos por la Constitución.,"La respuesta es que las relaciones laborales de carácter especial no están sujetas al marco legal del salario establecido en el artículo 26. En su lugar, se regulan por los usos y costumbres locales y profesionales, según lo establece el artículo 1 del capítulo II de la Sección 4ª Salarios y garantías salariales.",0.11,0.0,0.08,0.1,0.30731177,0.9
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
","Según lo establecido en el artículo 3, los derechos y obligaciones de las relaciones laborales se regulan principalmente por las siguientes fuentes:

- Disposiciones legales y reglamentarias del Estado.
- Convenios colectivos.
- La voluntad de las partes, manifestada en el contrato de trabajo, siempre que sea lícito y no establezca condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos.
- Los usos y costumbres locales y profesionales.

Además, las relaciones laborales especiales se regulan por fuentes específicas, como:

- La de personas que intervienen en operaciones mercantiles sin asumir el riesgo y ventura.
- La de trabajadores con discapacidad en centros especiales de empleo.
- Cualquier otro trabajo expresamente declarado como relación laboral de carácter especial por una ley.",0.48,0.36,0.41,0.31,0.591586,0.97
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,sujeción estricta al principio de jerarquía normativa.,"La respuesta correcta es la opción a) ""Por las disposiciones legales y reglamentarias del Estado"". Esta es la primera opción mencionada en el contexto proporcionado.",0.11,0.0,0.11,0.0,0.21494587,0.92
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables.","Si hay preceptos contradictorios de dos o más normas laborales, los conflictos se resolverán aplicando lo más favorable para el trabajador en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables. Esto significa que se priorizará la norma que beneficie al trabajador y se considerarán las implicaciones financieras de cada opción.",0.59,0.47,0.52,0.51,0.7164376,0.97
