,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.08,0.02,0.06,0.06,0.34168792,0.61
1,0.34,0.0,0.24,0.15,0.5508732,0.95
2,0.0,0.0,0.0,0.0,0.43849668,0.44
3,0.4,0.26,0.34,0.2,0.68566114,0.93
4,0.27,0.08,0.22,0.18,0.57780296,0.94
5,0.01,0.0,0.01,0.0,0.17038143,0.58
6,0.06,0.0,0.06,0.05,0.37417924,0.87
7,0.26,0.04,0.16,0.13,0.6016006,0.94
8,0.32,0.3,0.32,0.29,0.65275604,0.89
9,0.53,0.48,0.51,0.46,0.708185,0.96
10,0.24,0.04,0.19,0.2,0.48216045,0.95
11,0.16,0.1,0.13,0.12,0.528869,0.92
12,0.27,0.05,0.18,0.09,0.5855809,0.87
13,0.32,0.07,0.18,0.11,0.46397424,0.96
14,0.57,0.38,0.49,0.27,0.6954388,0.96
15,0.04,0.0,0.04,0.05,0.10742154,0.4
16,0.21,0.09,0.14,0.14,0.50981957,0.94
17,0.28,0.14,0.22,0.27,0.4024202,0.96
18,0.26,0.06,0.11,0.15,0.02057651,0.96
19,0.21,0.07,0.14,0.21,0.5112952,0.93
20,0.0,0.0,0.0,0.0,0.4804571,0.42
21,0.03,0.0,0.03,0.02,0.15922104,0.43
22,0.44,0.24,0.31,0.25,0.47697586,0.93
23,0.03,0.0,0.02,0.01,0.5505289,0.44
24,0.02,0.0,0.02,0.03,0.4473164,0.9
25,0.14,0.01,0.11,0.09,0.712792,0.82
26,0.16,0.05,0.15,0.11,0.47834668,0.91
27,0.04,0.0,0.03,0.01,0.46009052,0.52
28,0.32,0.08,0.21,0.21,0.5955135,0.93
29,0.03,0.0,0.02,0.02,0.4785515,0.49
30,0.43,0.15,0.26,0.22,0.71404624,0.97
31,0.35,0.08,0.16,0.24,0.474244,0.96
32,0.12,0.02,0.09,0.1,0.54446656,0.9
33,0.44,0.15,0.2,0.14,0.6231959,0.97
34,0.18,0.04,0.14,0.09,0.538799,0.94
35,0.03,0.0,0.02,0.0,0.52385855,0.56
36,0.5,0.15,0.24,0.27,0.67960733,0.98
37,0.03,0.01,0.03,0.02,0.63067126,0.52
38,0.37,0.05,0.2,0.24,0.6741474,0.95
39,0.04,0.0,0.03,0.01,0.5309448,0.52
40,0.21,0.11,0.21,0.15,0.50544626,0.96
41,0.27,0.13,0.27,0.21,0.58182687,0.95
42,0.0,0.0,0.0,0.0,0.46035412,0.4
43,0.39,0.12,0.3,0.25,0.5416697,0.97
44,0.0,0.0,0.0,0.0,0.5389732,0.46
45,0.0,0.0,0.0,0.0,0.06561935,0.42
46,0.01,0.0,0.0,0.0,0.6021021,0.43
47,0.22,0.05,0.15,0.09,0.54250515,0.93
48,0.12,0.05,0.07,0.05,0.5413927,0.91
49,0.31,0.08,0.23,0.14,0.52744156,0.95
50,0.4,0.1,0.23,0.14,0.6615974,0.97
51,0.44,0.13,0.28,0.21,0.667111,0.98
52,0.35,0.1,0.19,0.14,0.55868566,0.96
53,0.02,0.0,0.02,0.01,0.48333827,0.47
54,0.29,0.07,0.17,0.17,0.538392,0.95
55,0.39,0.09,0.24,0.22,0.5587981,0.96
56,0.05,0.0,0.05,0.03,0.44396526,0.57
57,0.03,0.02,0.03,0.02,0.5376608,0.57
58,0.42,0.11,0.22,0.16,0.5639606,0.94
59,0.35,0.07,0.2,0.13,0.48880228,0.92
60,0.29,0.04,0.17,0.25,0.39940563,0.97
