,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.27,0.03,0.16,0.12,0.64325386,0.94
1,0.21,0.02,0.14,0.15,0.3646938,0.92
2,0.04,0.01,0.03,0.04,0.52893364,0.84
3,0.49,0.24,0.36,0.36,0.58645624,0.92
4,0.25,0.05,0.2,0.18,0.7319001,0.93
5,0.17,0.06,0.13,0.12,0.35342255,0.91
6,0.05,0.0,0.05,0.0,0.13258256,0.92
7,0.3,0.05,0.15,0.16,0.5318587,0.94
8,0.16,0.0,0.16,0.0,0.12437795,0.91
9,0.42,0.31,0.4,0.35,0.71252644,0.96
10,0.53,0.25,0.41,0.4,0.52402073,0.98
11,0.2,0.0,0.2,0.09,0.49927977,0.91
12,0.24,0.0,0.14,0.07,0.32521063,0.87
13,0.28,0.04,0.15,0.09,0.5208023,0.95
14,0.48,0.34,0.37,0.35,0.5906784,0.96
15,0.14,0.02,0.14,0.06,0.4587026,0.89
16,0.35,0.12,0.23,0.18,0.5160976,0.96
17,0.6,0.54,0.52,0.53,0.6185118,0.97
18,0.31,0.1,0.2,0.2,0.10466369,0.96
19,0.0,0.0,0.0,0.0,0.03213348,0.84
20,0.07,0.0,0.05,0.04,0.35495785,0.87
21,0.24,0.02,0.19,0.18,0.60132545,0.92
22,0.0,0.0,0.0,0.0,0.1982284,0.7
23,0.26,0.05,0.16,0.17,0.4198026,0.94
24,0.0,0.0,0.0,0.0,0.046692632,0.88
25,0.21,0.03,0.11,0.12,0.49324673,0.88
26,0.22,0.05,0.2,0.11,0.53309566,0.9
27,0.19,0.04,0.12,0.12,0.63772494,0.88
28,0.43,0.07,0.29,0.32,0.57867545,0.93
29,0.4,0.08,0.2,0.13,0.4905055,0.97
30,0.53,0.36,0.36,0.31,0.73036516,0.96
31,0.21,0.02,0.14,0.18,0.4294436,0.96
32,0.14,0.04,0.12,0.09,0.57033867,0.91
33,0.49,0.16,0.22,0.18,0.7398511,0.98
34,0.37,0.08,0.22,0.2,0.6777599,0.95
35,0.06,0.02,0.05,0.03,0.6002143,0.8
36,0.47,0.13,0.23,0.21,0.6015624,0.98
37,0.38,0.1,0.2,0.11,0.5832444,0.97
38,0.41,0.16,0.23,0.25,0.50146765,0.96
39,0.15,0.02,0.13,0.13,0.49461213,0.93
40,0.23,0.03,0.23,0.15,0.29010013,0.95
41,0.25,0.14,0.25,0.15,0.57282597,0.88
42,0.0,0.0,0.0,0.0,0.04560744,0.79
43,0.19,0.07,0.13,0.12,0.57606673,0.9
44,0.29,0.17,0.29,0.3,0.42989028,0.95
45,0.33,0.11,0.2,0.21,0.39523312,0.97
46,0.19,0.11,0.13,0.14,0.54186517,0.94
47,0.09,0.03,0.07,0.07,0.62885183,0.82
48,0.34,0.24,0.34,0.24,0.5781169,0.97
49,0.38,0.24,0.26,0.3,0.57158667,0.96
50,0.18,0.0,0.1,0.14,0.49745268,0.92
51,0.38,0.12,0.23,0.18,0.5086226,0.97
52,0.26,0.05,0.14,0.13,0.48983982,0.94
53,0.29,0.05,0.19,0.15,0.5601463,0.96
54,0.37,0.04,0.2,0.14,0.5913821,0.97
55,0.29,0.09,0.22,0.14,0.38668007,0.95
56,0.57,0.36,0.37,0.27,0.678934,0.97
57,0.34,0.09,0.18,0.19,0.35813758,0.96
58,0.41,0.1,0.19,0.15,0.53264344,0.97
59,0.1,0.01,0.07,0.07,0.49065164,0.87
60,0.2,0.04,0.15,0.15,0.6908538,0.92
61,0.19,0.0,0.14,0.14,0.14264387,0.94
62,0.34,0.1,0.17,0.18,0.45508173,0.97
63,0.47,0.34,0.34,0.34,0.6340317,0.95
64,0.46,0.23,0.31,0.24,0.6542672,0.98
65,0.26,0.08,0.19,0.17,0.56444174,0.93
66,0.36,0.05,0.18,0.15,0.57036346,0.98
67,0.13,0.06,0.1,0.08,0.5881423,0.95
68,0.25,0.07,0.15,0.15,0.5588694,0.95
69,0.18,0.02,0.12,0.1,0.5339727,0.94
70,0.55,0.41,0.47,0.54,0.44528276,0.97
71,0.43,0.13,0.21,0.24,0.53286374,0.97
72,0.35,0.06,0.19,0.21,0.5499692,0.96
73,0.33,0.07,0.15,0.16,0.65231377,0.95
74,0.24,0.04,0.16,0.13,0.56181765,0.95
75,0.0,0.0,0.0,0.0,0.4732879,0.69
76,0.2,0.04,0.14,0.1,0.64836043,0.91
77,0.51,0.23,0.31,0.27,0.66839474,0.97
78,0.04,0.01,0.04,0.04,0.6396817,0.79
79,0.3,0.09,0.24,0.25,0.66904426,0.95
80,0.3,0.03,0.18,0.15,0.54718006,0.98
81,0.38,0.12,0.24,0.21,0.6410768,0.96
82,0.7,0.53,0.5,0.42,0.76531315,0.98
