,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.23,0.04,0.14,0.1,0.4576003,0.94
1,0.23,0.04,0.15,0.14,0.40570837,0.94
2,0.31,0.06,0.14,0.12,0.47749603,0.96
3,0.44,0.34,0.36,0.3,0.6973093,0.92
4,0.22,0.04,0.16,0.15,0.5432836,0.94
5,0.36,0.1,0.19,0.16,0.36134517,0.96
6,0.07,0.0,0.04,0.05,0.46849468,0.83
7,0.25,0.05,0.15,0.16,0.5450325,0.96
8,0.13,0.07,0.11,0.07,0.51965916,0.87
9,0.37,0.21,0.28,0.31,0.5110388,0.95
10,0.36,0.27,0.33,0.31,0.5944056,0.94
11,0.23,0.05,0.14,0.16,0.7194205,0.95
12,0.22,0.0,0.12,0.08,0.48919213,0.86
13,0.35,0.08,0.21,0.09,0.5352974,0.96
14,0.74,0.65,0.72,0.53,0.7700219,0.99
15,0.14,0.0,0.14,0.08,0.30425018,0.94
16,0.29,0.12,0.18,0.2,0.49579352,0.93
17,0.66,0.52,0.63,0.54,0.6741905,0.98
18,0.32,0.03,0.15,0.15,0.13370077,0.96
19,0.24,0.11,0.17,0.18,0.5920123,0.91
20,0.38,0.06,0.2,0.18,0.55161464,0.97
21,0.25,0.06,0.21,0.23,0.65805817,0.95
22,0.3,0.12,0.21,0.12,0.53832364,0.96
23,0.27,0.07,0.17,0.18,0.53244406,0.93
24,0.04,0.0,0.04,0.04,0.43198043,0.86
25,0.32,0.05,0.18,0.23,0.40698966,0.94
26,0.16,0.05,0.12,0.09,0.53612864,0.94
27,0.34,0.06,0.16,0.14,0.49172834,0.97
28,0.33,0.12,0.22,0.23,0.6413557,0.94
29,0.38,0.08,0.24,0.14,0.47883737,0.94
30,0.56,0.33,0.43,0.33,0.72825027,0.97
31,0.33,0.09,0.18,0.26,0.5208296,0.97
32,0.09,0.0,0.09,0.08,0.61086625,0.9
33,0.41,0.14,0.19,0.17,0.5905851,0.98
34,0.19,0.05,0.13,0.1,0.657816,0.92
35,0.35,0.09,0.18,0.11,0.55721325,0.96
36,0.4,0.1,0.21,0.22,0.61601746,0.97
37,0.35,0.05,0.16,0.1,0.5915554,0.95
38,0.33,0.03,0.16,0.22,0.60771495,0.95
39,0.33,0.04,0.16,0.14,0.55412793,0.96
40,0.35,0.16,0.31,0.26,0.34462756,0.97
41,0.3,0.12,0.24,0.21,0.57645476,0.95
42,0.24,0.08,0.16,0.15,0.47322834,0.96
43,0.26,0.06,0.15,0.15,0.5162731,0.96
44,0.21,0.08,0.15,0.16,0.27859703,0.96
45,0.39,0.12,0.2,0.28,0.39577404,0.97
46,0.16,0.03,0.08,0.11,0.61757857,0.89
47,0.26,0.08,0.15,0.1,0.56637836,0.95
48,0.17,0.08,0.11,0.08,0.6256042,0.94
49,0.38,0.17,0.29,0.22,0.6301319,0.97
50,0.36,0.04,0.16,0.12,0.61180264,0.96
51,0.35,0.07,0.2,0.18,0.51329064,0.96
52,0.43,0.15,0.24,0.17,0.4834537,0.99
53,0.29,0.06,0.14,0.17,0.5210573,0.95
54,0.27,0.06,0.16,0.16,0.56269675,0.95
55,0.39,0.13,0.26,0.25,0.48942965,0.96
56,0.58,0.33,0.43,0.28,0.68549633,0.97
57,0.33,0.06,0.19,0.14,0.5871994,0.96
58,0.41,0.17,0.26,0.16,0.6134488,0.97
59,0.34,0.05,0.19,0.13,0.56664234,0.98
60,0.31,0.04,0.19,0.23,0.4769013,0.97
61,0.23,0.01,0.12,0.18,0.32557037,0.96
62,0.41,0.16,0.16,0.25,0.41785684,0.97
63,0.62,0.34,0.35,0.44,0.72136295,0.98
64,0.35,0.11,0.22,0.18,0.71933025,0.95
65,0.46,0.22,0.2,0.19,0.60555065,0.97
66,0.26,0.04,0.16,0.12,0.42314205,0.97
67,0.2,0.06,0.12,0.13,0.4686013,0.94
68,0.09,0.0,0.08,0.05,0.40578005,0.81
69,0.43,0.12,0.22,0.21,0.67662764,0.98
70,0.36,0.19,0.26,0.28,0.3625811,0.95
71,0.32,0.1,0.21,0.16,0.5540209,0.96
72,0.28,0.05,0.17,0.18,0.60403425,0.94
73,0.37,0.1,0.2,0.19,0.5984399,0.97
74,0.25,0.03,0.15,0.13,0.53269094,0.95
75,0.12,0.07,0.12,0.1,0.44469678,0.9
76,0.39,0.09,0.21,0.15,0.6584344,0.98
77,0.28,0.06,0.21,0.2,0.5767621,0.96
78,0.25,0.06,0.15,0.12,0.68092656,0.92
79,0.28,0.1,0.25,0.18,0.59386396,0.94
80,0.35,0.05,0.18,0.14,0.5965502,0.96
81,0.5,0.17,0.27,0.32,0.66930604,0.97
82,0.6,0.41,0.51,0.42,0.7397934,0.97
83,0.18,0.04,0.12,0.11,0.4432677,0.94
84,0.3,0.03,0.15,0.14,0.46879357,0.96
85,0.21,0.02,0.15,0.12,0.63501644,0.95
86,0.26,0.06,0.14,0.13,0.4974555,0.96
87,0.4,0.11,0.24,0.19,0.5113603,0.98
88,0.43,0.24,0.35,0.25,0.6124801,0.97
89,0.34,0.12,0.23,0.15,0.5248452,0.94
90,0.58,0.43,0.41,0.34,0.7401898,0.98
91,0.62,0.45,0.49,0.29,0.7330834,0.97
92,0.28,0.04,0.13,0.14,0.6523984,0.96
93,0.38,0.07,0.19,0.23,0.5331376,0.97
94,0.26,0.06,0.16,0.12,0.53908044,0.92
95,0.37,0.09,0.18,0.15,0.5674428,0.96
96,0.12,0.04,0.12,0.08,0.57960135,0.91
97,0.17,0.02,0.09,0.08,0.5298653,0.95
98,0.44,0.11,0.24,0.21,0.6397408,0.97
99,0.38,0.11,0.25,0.19,0.706662,0.94
100,0.39,0.13,0.28,0.2,0.5623024,0.98
101,0.34,0.1,0.18,0.12,0.5025908,0.93
102,0.5,0.28,0.37,0.24,0.64746255,0.97
103,0.33,0.05,0.15,0.18,0.4904265,0.97
104,0.38,0.09,0.23,0.21,0.50786996,0.93
105,0.35,0.09,0.21,0.16,0.49993825,0.97
106,0.35,0.03,0.21,0.21,0.4945733,0.97
107,0.64,0.37,0.52,0.37,0.6127516,0.98
108,0.25,0.09,0.13,0.11,0.5619492,0.96
109,0.23,0.08,0.14,0.1,0.3565973,0.96
110,0.35,0.07,0.16,0.17,0.57671595,0.93
111,0.33,0.08,0.18,0.14,0.60867685,0.96
112,0.22,0.07,0.14,0.17,0.53990763,0.93
113,0.2,0.1,0.14,0.15,0.5165467,0.91
114,0.27,0.13,0.18,0.15,0.7048851,0.96
115,0.57,0.35,0.42,0.36,0.68307704,0.98
116,0.57,0.3,0.29,0.26,0.6266789,0.99
117,0.38,0.12,0.21,0.19,0.6875253,0.98
118,0.47,0.2,0.31,0.22,0.6308066,0.95
119,0.37,0.07,0.23,0.19,0.35340926,0.96
120,0.4,0.14,0.2,0.12,0.55503887,0.97
121,0.34,0.08,0.24,0.23,0.6000712,0.95
122,0.32,0.07,0.16,0.14,0.60198545,0.92
123,0.39,0.05,0.18,0.21,0.57498926,0.96
124,0.28,0.23,0.22,0.21,0.6972972,0.94
125,0.73,0.53,0.69,0.44,0.7098081,0.99
126,0.3,0.01,0.17,0.13,0.24432948,0.94
127,0.32,0.09,0.18,0.13,0.4813843,0.97
128,0.19,0.05,0.15,0.12,0.47682843,0.95
129,0.29,0.06,0.18,0.17,0.6107982,0.94
130,0.35,0.08,0.18,0.19,0.64181787,0.96
131,0.18,0.02,0.13,0.13,0.6510795,0.94
132,0.33,0.06,0.19,0.16,0.5402155,0.96
133,0.27,0.04,0.15,0.17,0.6383747,0.96
134,0.35,0.1,0.19,0.19,0.6820041,0.96
135,0.3,0.07,0.16,0.13,0.39234018,0.95
136,0.29,0.19,0.18,0.18,0.7492366,0.95
137,0.08,0.04,0.06,0.06,0.7816948,0.82
138,0.47,0.12,0.25,0.14,0.51130486,0.95
139,0.26,0.05,0.17,0.14,0.6516821,0.94
140,0.39,0.05,0.19,0.15,0.43097332,0.97
141,0.29,0.05,0.15,0.2,0.5523975,0.93
142,0.42,0.07,0.21,0.15,0.57940465,0.98
143,0.23,0.06,0.19,0.21,0.43922514,0.95
144,0.39,0.09,0.22,0.2,0.64546335,0.96
145,0.58,0.53,0.57,0.41,0.7662826,0.97
146,0.59,0.38,0.46,0.28,0.8330904,0.97
147,0.29,0.06,0.16,0.13,0.5906364,0.96
148,0.38,0.07,0.19,0.19,0.5810474,0.97
