,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.08,0.01,0.06,0.04,0.6253507,0.7
1,0.29,0.02,0.17,0.18,0.5109306,0.94
2,0.02,0.0,0.01,0.01,0.66186374,0.57
3,0.33,0.19,0.23,0.21,0.60354644,0.91
4,0.22,0.08,0.18,0.15,0.5982915,0.93
5,0.08,0.0,0.06,0.05,0.33690694,0.9
6,0.05,0.01,0.04,0.04,0.39742947,0.84
7,0.26,0.04,0.15,0.19,0.45586544,0.97
8,0.09,0.08,0.09,0.08,0.5968551,0.84
9,0.03,0.0,0.03,0.02,0.61533785,0.43
10,0.47,0.26,0.42,0.42,0.6085269,0.97
11,0.21,0.17,0.19,0.17,0.66336906,0.95
12,0.01,0.0,0.01,0.0,0.39180267,0.67
13,0.36,0.04,0.19,0.14,0.41791305,0.91
14,0.5,0.38,0.43,0.25,0.6844084,0.95
15,0.12,0.0,0.1,0.11,0.3486693,0.86
16,0.44,0.23,0.31,0.31,0.6188372,0.97
17,0.35,0.18,0.25,0.34,0.42099532,0.97
18,0.84,0.72,0.8,0.5,0.7367586,0.99
19,0.0,0.0,0.0,0.0,0.33091787,0.36
20,0.02,0.0,0.01,0.02,0.57139426,0.47
21,0.06,0.0,0.04,0.02,0.45401704,0.46
22,0.63,0.58,0.52,0.42,0.78957474,0.98
23,0.03,0.0,0.02,0.01,0.45423418,0.42
24,0.1,0.0,0.05,0.11,0.20739228,0.93
25,0.23,0.03,0.14,0.18,0.53927314,0.93
26,0.12,0.01,0.1,0.06,0.58324265,0.89
27,0.03,0.0,0.02,0.01,0.43515128,0.6
28,0.37,0.08,0.26,0.26,0.5647974,0.93
29,0.02,0.0,0.02,0.0,0.61910146,0.52
30,0.47,0.24,0.29,0.24,0.69158554,0.96
31,0.42,0.24,0.34,0.34,0.67866915,0.95
32,0.17,0.02,0.13,0.14,0.46946725,0.9
33,0.48,0.16,0.24,0.18,0.65702784,0.98
34,0.23,0.08,0.17,0.12,0.5894674,0.95
35,0.02,0.0,0.01,0.0,0.56770724,0.57
36,0.53,0.16,0.26,0.23,0.6622622,0.97
37,0.02,0.0,0.02,0.0,0.48424554,0.54
38,0.36,0.15,0.26,0.25,0.6953954,0.94
39,0.31,0.05,0.2,0.1,0.59495604,0.95
40,0.01,0.0,0.01,0.01,0.47665042,0.43
41,0.31,0.13,0.22,0.22,0.60083556,0.93
42,0.0,0.0,0.0,0.0,0.5537745,0.42
43,0.34,0.12,0.22,0.2,0.65264857,0.96
44,0.19,0.08,0.17,0.14,0.38118392,0.97
45,0.0,0.0,0.0,0.0,0.5781137,0.49
46,0.0,0.0,0.0,0.0,0.50200063,0.41
47,0.16,0.04,0.1,0.1,0.6162806,0.89
48,0.14,0.0,0.07,0.12,0.6440229,0.94
49,0.47,0.36,0.32,0.32,0.79454374,0.94
50,0.45,0.09,0.26,0.15,0.5747677,0.97
51,0.29,0.09,0.19,0.19,0.6465657,0.96
52,0.39,0.13,0.22,0.15,0.64924496,0.95
53,0.01,0.0,0.01,0.0,0.52334046,0.48
54,0.37,0.23,0.26,0.2,0.74942416,0.93
55,0.01,0.0,0.01,0.0,0.38383126,0.5
56,0.45,0.23,0.22,0.21,0.7624874,0.95
57,0.65,0.49,0.59,0.44,0.7506918,0.97
58,0.02,0.0,0.02,0.0,0.4910903,0.53
59,0.03,0.0,0.02,0.02,0.59612083,0.56
60,0.01,0.0,0.01,0.0,0.37305722,0.44
61,0.02,0.0,0.02,0.01,0.5757964,0.52
62,0.01,0.0,0.01,0.01,0.4915861,0.46
63,0.04,0.0,0.04,0.01,0.4510664,0.41
64,0.05,0.0,0.04,0.03,0.46879572,0.62
65,0.02,0.0,0.02,0.01,0.56273246,0.57
66,0.29,0.06,0.2,0.15,0.5176703,0.97
67,0.01,0.0,0.01,0.01,0.39945745,0.52
68,0.21,0.02,0.14,0.09,0.5113338,0.93
69,0.43,0.05,0.2,0.17,0.63903415,0.97
70,0.04,0.0,0.03,0.04,0.39095488,0.47
71,0.44,0.2,0.25,0.22,0.6161733,0.98
72,0.27,0.07,0.2,0.16,0.5687987,0.95
73,0.35,0.26,0.29,0.21,0.76269716,0.93
74,0.06,0.0,0.04,0.03,0.46037546,0.6
75,0.07,0.02,0.06,0.02,0.42119268,0.6
76,0.03,0.0,0.02,0.0,0.49262768,0.56
77,0.45,0.23,0.3,0.23,0.6115622,0.97
78,0.48,0.36,0.31,0.31,0.80700105,0.95
79,0.4,0.32,0.34,0.28,0.6661859,0.94
80,0.35,0.04,0.19,0.13,0.6348346,0.97
81,0.39,0.09,0.25,0.2,0.5385232,0.96
82,0.06,0.03,0.05,0.05,0.553709,0.65
83,0.07,0.0,0.06,0.05,0.43635753,0.68
84,0.28,0.03,0.13,0.14,0.13516442,0.97
85,0.04,0.0,0.03,0.03,0.56189924,0.53
86,0.42,0.1,0.2,0.15,0.6093103,0.98
87,0.02,0.0,0.02,0.02,0.52820235,0.5
88,0.42,0.3,0.36,0.27,0.6867849,0.95
89,0.35,0.21,0.29,0.14,0.62156445,0.95
90,0.47,0.15,0.26,0.16,0.65738,0.98
91,0.5,0.33,0.4,0.25,0.74750775,0.95
92,0.49,0.25,0.3,0.33,0.72520304,0.97
93,0.07,0.0,0.07,0.03,0.40287304,0.44
94,0.01,0.0,0.0,0.0,0.6096018,0.5
95,0.4,0.19,0.19,0.19,0.57059634,0.97
96,0.16,0.03,0.12,0.12,0.639522,0.92
97,0.05,0.01,0.04,0.03,0.4547386,0.67
98,0.24,0.06,0.18,0.1,0.7485795,0.92
99,0.25,0.08,0.17,0.09,0.5819738,0.95
100,0.31,0.12,0.23,0.15,0.61749476,0.96
101,0.33,0.16,0.25,0.17,0.5378534,0.95
102,0.44,0.19,0.29,0.14,0.6497588,0.96
103,0.05,0.01,0.03,0.02,0.4212283,0.57
104,0.37,0.06,0.19,0.14,0.5511516,0.96
105,0.3,0.08,0.19,0.13,0.4469263,0.96
106,0.3,0.07,0.2,0.2,0.47786748,0.97
107,0.04,0.0,0.03,0.01,0.40770838,0.5
108,0.09,0.02,0.07,0.01,0.5696849,0.74
109,0.41,0.1,0.21,0.13,0.6229779,0.99
110,0.21,0.02,0.16,0.11,0.4430287,0.93
111,0.01,0.0,0.01,0.01,0.5579636,0.45
112,0.11,0.02,0.08,0.08,0.71921176,0.85
113,0.03,0.0,0.03,0.01,0.3253423,0.41
114,0.28,0.15,0.19,0.17,0.74002546,0.95
115,0.51,0.26,0.36,0.29,0.58616287,0.97
116,0.04,0.0,0.02,0.02,0.6133209,0.6
117,0.34,0.07,0.19,0.12,0.6025548,0.96
118,0.31,0.13,0.24,0.17,0.6476675,0.94
119,0.06,0.0,0.05,0.02,0.5623874,0.57
120,0.04,0.0,0.03,0.01,0.5053132,0.58
121,0.02,0.0,0.02,0.01,0.61567867,0.46
122,0.01,0.0,0.01,0.01,0.46052244,0.49
123,0.44,0.1,0.19,0.13,0.5525048,0.98
124,0.01,0.0,0.01,0.01,0.56896096,0.46
125,0.4,0.06,0.22,0.12,0.66028917,0.96
126,0.01,0.0,0.01,0.0,0.42097875,0.52
127,0.03,0.0,0.03,0.01,0.41730815,0.5
128,0.02,0.0,0.02,0.02,0.5717518,0.52
129,0.37,0.09,0.22,0.13,0.6945788,0.95
130,0.27,0.06,0.22,0.12,0.63166636,0.96
131,0.01,0.0,0.01,0.0,0.56699526,0.46
132,0.01,0.0,0.01,0.01,0.49092704,0.48
133,0.12,0.03,0.11,0.1,0.68429166,0.93
134,0.28,0.05,0.17,0.16,0.6177908,0.95
135,0.46,0.14,0.23,0.1,0.6182536,0.96
136,0.04,0.0,0.04,0.02,0.5817399,0.58
137,0.03,0.0,0.02,0.01,0.52526116,0.58
138,0.28,0.08,0.18,0.17,0.4666134,0.96
139,0.05,0.0,0.04,0.03,0.40572572,0.65
140,0.34,0.07,0.19,0.14,0.4793728,0.97
141,0.24,0.06,0.15,0.15,0.6325952,0.89
142,0.06,0.01,0.04,0.03,0.49778634,0.59
143,0.02,0.0,0.02,0.02,0.44988722,0.42
144,0.4,0.1,0.25,0.2,0.66952664,0.96
145,0.08,0.03,0.07,0.05,0.64928705,0.68
146,0.01,0.0,0.01,0.01,0.5968183,0.52
147,0.34,0.06,0.19,0.15,0.5641354,0.91
148,0.4,0.06,0.18,0.15,0.594262,0.97
