,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.16,0.04,0.16,0.18,0.5849928,0.89
1,0.2,0.03,0.15,0.16,0.41035643,0.92
2,0.11,0.03,0.08,0.06,0.6117386,0.93
3,0.36,0.14,0.24,0.23,0.38849345,0.87
4,0.26,0.09,0.2,0.16,0.73201096,0.95
5,0.26,0.03,0.15,0.12,0.3908997,0.94
6,0.13,0.04,0.09,0.09,0.19795047,0.93
7,0.17,0.03,0.1,0.08,0.62431383,0.91
8,0.2,0.14,0.2,0.11,0.5636354,0.88
9,0.39,0.21,0.22,0.3,0.6016194,0.94
10,0.35,0.07,0.23,0.29,0.37199533,0.96
11,0.13,0.0,0.13,0.05,0.44403782,0.89
12,0.13,0.03,0.1,0.03,0.5619429,0.86
13,0.32,0.04,0.15,0.11,0.516789,0.95
14,0.77,0.69,0.74,0.51,0.70709026,0.99
15,0.12,0.0,0.1,0.09,0.14567558,0.93
16,0.74,0.6,0.55,0.51,0.622852,0.98
17,0.09,0.0,0.05,0.05,0.012108825,0.92
18,0.08,0.0,0.05,0.09,0.024075994,0.89
19,0.27,0.2,0.27,0.18,0.41414842,0.96
20,0.59,0.41,0.48,0.33,0.6394956,0.97
21,0.29,0.04,0.24,0.32,0.43150657,0.95
22,0.48,0.3,0.35,0.26,0.6045097,0.94
23,0.36,0.1,0.19,0.27,0.5489457,0.97
24,0.21,0.07,0.14,0.15,0.56596726,0.93
25,0.27,0.09,0.16,0.19,0.6382009,0.94
26,0.16,0.02,0.14,0.14,0.3879012,0.87
27,0.22,0.03,0.13,0.13,0.4876195,0.9
28,0.49,0.15,0.37,0.37,0.63916683,0.96
29,0.45,0.13,0.24,0.19,0.49862236,0.96
30,0.67,0.54,0.51,0.41,0.80388075,0.97
31,0.56,0.45,0.47,0.45,0.6499554,0.97
32,0.14,0.02,0.12,0.11,0.5067704,0.91
33,0.42,0.17,0.19,0.16,0.6809189,0.98
34,0.26,0.09,0.14,0.15,0.5121585,0.95
35,0.32,0.19,0.18,0.15,0.65813184,0.92
36,0.51,0.22,0.28,0.3,0.7841114,0.97
37,0.35,0.08,0.18,0.09,0.5600237,0.97
38,0.34,0.12,0.21,0.22,0.47877717,0.95
39,0.38,0.08,0.16,0.22,0.5787008,0.97
40,0.38,0.33,0.38,0.29,0.6019015,0.94
41,0.22,0.09,0.17,0.15,0.59838516,0.87
42,0.04,0.0,0.04,0.05,0.13638817,0.94
43,0.29,0.1,0.19,0.15,0.4768864,0.93
44,0.34,0.12,0.24,0.27,0.73256284,0.98
45,0.34,0.12,0.23,0.21,0.5204014,0.95
46,0.15,0.06,0.12,0.08,0.5469141,0.92
47,0.16,0.06,0.11,0.08,0.64212817,0.9
48,0.18,0.09,0.15,0.1,0.5970176,0.96
49,0.2,0.0,0.1,0.11,0.3780569,0.96
50,0.33,0.04,0.2,0.14,0.4531055,0.96
51,0.34,0.1,0.22,0.18,0.5477348,0.93
52,0.16,0.04,0.13,0.07,0.62576234,0.92
53,0.35,0.05,0.18,0.16,0.46321568,0.97
54,0.26,0.08,0.16,0.13,0.44059587,0.97
55,0.21,0.02,0.18,0.12,0.5143448,0.91
56,0.58,0.31,0.4,0.21,0.7601369,0.95
57,0.44,0.33,0.34,0.34,0.68914217,0.96
58,0.41,0.13,0.26,0.16,0.47682106,0.95
59,0.45,0.08,0.18,0.16,0.5862443,0.98
60,0.32,0.12,0.24,0.2,0.50351816,0.98
61,0.26,0.03,0.16,0.18,0.36799532,0.97
62,0.31,0.09,0.16,0.2,0.36009422,0.97
63,0.37,0.12,0.22,0.27,0.492765,0.96
64,0.51,0.19,0.32,0.21,0.62333417,0.99
65,0.59,0.47,0.47,0.33,0.65398926,0.99
66,0.25,0.04,0.15,0.08,0.49426836,0.95
67,0.22,0.1,0.15,0.17,0.45121965,0.91
68,0.16,0.0,0.1,0.13,0.5018715,0.85
69,0.38,0.06,0.24,0.16,0.5720889,0.95
70,0.29,0.21,0.29,0.27,0.45328194,0.94
71,0.59,0.31,0.3,0.36,0.6326168,0.97
72,0.29,0.06,0.17,0.18,0.5880105,0.95
73,0.6,0.41,0.44,0.39,0.65849113,0.97
74,0.28,0.03,0.15,0.14,0.596002,0.93
75,0.33,0.1,0.2,0.17,0.62325764,0.97
76,0.45,0.18,0.24,0.13,0.69096273,0.97
77,0.51,0.29,0.4,0.33,0.6767361,0.96
78,0.41,0.25,0.22,0.23,0.59803456,0.94
79,0.69,0.56,0.62,0.5,0.7610046,0.97
80,0.28,0.02,0.16,0.12,0.5319748,0.96
81,0.73,0.7,0.73,0.6,0.7239561,0.99
82,0.24,0.03,0.13,0.12,0.5750956,0.96
83,0.06,0.0,0.05,0.03,0.43005946,0.86
84,0.25,0.01,0.15,0.15,0.27019864,0.94
85,0.42,0.16,0.22,0.24,0.5988816,0.97
86,0.2,0.03,0.1,0.11,0.49808452,0.93
87,0.31,0.11,0.22,0.19,0.6238703,0.94
88,0.43,0.27,0.29,0.3,0.5820424,0.95
