,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.14,0.0,0.14,0.1,0.61603546,0.88
1,0.3,0.06,0.18,0.16,0.47629735,0.95
2,0.25,0.05,0.13,0.09,0.5360487,0.96
3,0.26,0.11,0.14,0.14,0.74013233,0.9
4,0.21,0.06,0.15,0.17,0.53065383,0.91
5,0.18,0.04,0.1,0.1,0.2477131,0.91
6,0.05,0.01,0.05,0.04,0.43448734,0.87
7,0.22,0.05,0.15,0.14,0.58325064,0.94
8,0.19,0.15,0.13,0.14,0.63592744,0.87
9,0.37,0.32,0.37,0.3,0.6159607,0.94
10,0.43,0.33,0.38,0.39,0.659494,0.97
11,0.16,0.04,0.11,0.09,0.6046009,0.94
12,0.2,0.04,0.11,0.05,0.27878544,0.9
13,0.29,0.03,0.15,0.12,0.4853327,0.95
14,0.52,0.35,0.41,0.26,0.64074314,0.96
15,0.14,0.0,0.12,0.11,0.29805398,0.87
16,0.34,0.16,0.24,0.19,0.6489238,0.91
17,0.63,0.48,0.59,0.55,0.66948867,0.98
18,0.58,0.46,0.5,0.38,0.7500855,0.98
19,0.4,0.24,0.4,0.34,0.7390528,0.95
20,0.68,0.5,0.53,0.38,0.7216819,0.97
21,0.13,0.04,0.08,0.08,0.5502032,0.88
22,0.8,0.68,0.62,0.46,0.8047024,0.99
23,0.32,0.05,0.15,0.25,0.45513916,0.96
24,0.25,0.17,0.14,0.19,0.6150966,0.93
25,0.22,0.04,0.15,0.17,0.5385932,0.93
26,0.19,0.0,0.11,0.09,0.31530544,0.9
27,0.33,0.06,0.17,0.11,0.46704102,0.93
28,0.32,0.05,0.17,0.2,0.60771173,0.94
29,0.41,0.08,0.23,0.16,0.55908436,0.96
30,0.58,0.43,0.49,0.34,0.6907232,0.96
31,0.6,0.42,0.44,0.39,0.71038544,0.95
32,0.16,0.0,0.1,0.11,0.676111,0.88
33,0.3,0.1,0.14,0.18,0.70530474,0.92
34,0.32,0.03,0.21,0.22,0.5387695,0.94
35,0.57,0.32,0.32,0.2,0.62366104,0.98
36,0.54,0.26,0.27,0.31,0.80672264,0.97
37,0.32,0.06,0.18,0.09,0.5376991,0.95
38,0.46,0.15,0.29,0.23,0.59473795,0.95
39,0.34,0.07,0.19,0.15,0.58038944,0.97
40,0.3,0.07,0.19,0.25,0.6316057,0.96
41,0.24,0.1,0.19,0.12,0.57746345,0.92
42,0.27,0.1,0.19,0.2,0.5313642,0.97
43,0.31,0.09,0.21,0.19,0.59027225,0.96
44,0.18,0.07,0.16,0.14,0.4448306,0.96
45,0.34,0.09,0.2,0.19,0.60928136,0.97
46,0.15,0.07,0.09,0.09,0.5286336,0.91
47,0.27,0.09,0.15,0.14,0.6067812,0.93
48,0.2,0.11,0.11,0.1,0.5640084,0.94
49,0.43,0.32,0.31,0.31,0.69565254,0.95
50,0.4,0.06,0.24,0.13,0.61633474,0.95
51,0.37,0.11,0.22,0.21,0.5566303,0.96
52,0.3,0.07,0.18,0.17,0.5708487,0.95
53,0.28,0.03,0.14,0.12,0.5034444,0.95
54,0.43,0.09,0.23,0.15,0.5479297,0.98
55,0.26,0.02,0.17,0.13,0.59335124,0.95
56,0.57,0.31,0.39,0.28,0.7122151,0.98
57,0.38,0.2,0.22,0.27,0.70191705,0.96
58,0.37,0.11,0.22,0.14,0.59350073,0.94
59,0.34,0.04,0.17,0.13,0.5631043,0.96
60,0.19,0.03,0.12,0.15,0.57093406,0.96
61,0.22,0.03,0.11,0.14,0.44277957,0.94
62,0.3,0.09,0.16,0.22,0.4619952,0.95
63,0.6,0.39,0.45,0.42,0.83238137,0.98
64,0.44,0.11,0.22,0.16,0.5756593,0.98
65,0.63,0.48,0.45,0.3,0.67433953,0.99
66,0.28,0.06,0.17,0.14,0.40803075,0.97
67,0.21,0.05,0.1,0.14,0.55031824,0.93
68,0.18,0.04,0.11,0.14,0.5206163,0.89
69,0.35,0.07,0.19,0.18,0.6552407,0.96
70,0.33,0.22,0.27,0.24,0.62576866,0.94
71,0.53,0.3,0.33,0.33,0.66599584,0.97
72,0.38,0.12,0.25,0.2,0.51707035,0.97
73,0.7,0.42,0.5,0.41,0.87674296,0.97
74,0.3,0.05,0.16,0.16,0.5751307,0.95
75,0.36,0.14,0.23,0.19,0.63247955,0.97
76,0.32,0.1,0.2,0.1,0.66348743,0.94
77,0.38,0.26,0.34,0.2,0.58330554,0.96
78,0.46,0.3,0.29,0.24,0.6511401,0.95
79,0.28,0.19,0.23,0.19,0.67738134,0.93
80,0.27,0.08,0.15,0.16,0.66725445,0.97
81,0.67,0.44,0.56,0.47,0.787689,0.98
