,palabra,sinonimos
0,derecho supletorio,['derecho']
1,centro formativo,"['formación', 'educación', 'enseñanza']"
2,modificación,"['propuesta de modificación', 'modificacion', 'mod']"
3,adopción,"['adopcion', 'filiación adoptiva']"
4,dietas y gastos,"['gastos de viaje', 'remuneración']"
5,formación teórica,"['formación', 'educación', 'enseñanza']"
6,jornada,"['trabajo a media jornada', 'día laborable']"
7,pagaré,"['certificado de depósito', 'pagare']"
8,institución pública,"['organismo público de españa', 'organismo público', 'organismo publico', 'organismo público (españa)', 'institución', 'institucion', 'institucional', 'instituciones']"
9,asociación,"['sociedad', 'unión', 'corporación', 'cooperativa']"
10,período de prueba,"['período de prácticas', 'periodo']"
11,contaminación,"['coste de los daños medioambientales', 'vertidos toxicos', 'contaminante', 'la contaminacion', 'contaminado', 'la contaminación', 'emision contaminante', 'contaminacion ambiental', 'contaminada', 'contaminar', 'contaminacion', 'polucion', 'contaminación ambiental', 'vertidos tóxicos', 'polución', 'emisión contaminante']"
12,disposición legal,"['instrucción', 'disposición', 'reglamento', 'ordenanza']"
13,secretario judicial,"['actuario', 'funcionario judicial']"
14,movimiento de consumidores,"['organización de consumidores', 'movimiento social', 'movimientos sociales', 'consumidores', 'economato', 'organización de consumidores', 'legislación en materia de protección de los consumidores', 'plan de acción en favor de los consumidores', 'política de consumo']"
15,patrimonio,['salvaguardia del patrimonio cultural']
16,salario mínimo interprofesional,"['smi', 'salario', 'remuneración salarial', 'salario-hora profesional', 'salarial', 'tarifa de salarios', 'sueldo', 'jornal', 'nómina', 'salario móvil', 'honorarios', 'estipendio', 'salario por unidad de obra']"
17,derechos de los pasajeros,"['indicador de rendimiento clave', 'derechos de los pasajeros de tren', 'derecho']"
18,jurisdicción,"['sistema jurisdiccional', 'competencia judicial']"
19,extinción por voluntad del trabajador,"['extinción del contrato', 'extinción de la relación laboral', 'despido']"
20,renovación urbana,['revitalización urbana']
21,extranjero,"['extranjeros', 'extranjera']"
22,jornada,"['jornada de trabajo', 'día laborable', 'jornada laboral', 'organización del trabajo']"
